,about_pages,age,complete,good,home,member_since,num_pos_list,num_refs_list,profile_len,sex
0,https://www.couchsurfing.com/people/nikoaitor,['23'],['90'],1.0,listed,['2013'],['19'],['26'],1680,Other
1,https://www.couchsurfing.com/people/venture_helsinki,['35'],['100'],1.0,Finland,['2009'],['111'],['150'],4142,Male
2,https://www.couchsurfing.com/people/djaan,['46'],['100'],1.0,Finland,['2010'],['15'],['18'],2565,Male
3,https://www.couchsurfing.com/people/georgedrayton,['50'],['100'],1.0,Israel,['2014'],['34'],['40'],5646,Male
4,https://www.couchsurfing.com/people/moukki,['32'],['100'],1.0,Espoo,['2009'],['17'],['26'],1608,Male
5,https://www.couchsurfing.com/people/katrisoderqvist,['23'],['100'],1.0,listed,['2013'],['9'],['10'],1055,Female
6,https://www.couchsurfing.com/people/muhammedkheder,['30'],['95'],1.0,listed,['2014'],['13'],['26'],3009,Male
7,https://www.couchsurfing.com/people/jonihel,['46'],['100'],1.0,Finland,['2012'],['84'],['92'],2172,Male
8,https://www.couchsurfing.com/people/adrian42,['39'],['95'],1.0,listed,['2009'],['24'],['27'],1240,Male
9,https://www.couchsurfing.com/users/1007161203,['27'],['100'],1.0,Finland,['2014'],['7'],['8'],914,Male
10,https://www.couchsurfing.com/people/hkroger,['36'],['90'],1.0,Finland,['2006'],['14'],['18'],840,Male
11,https://www.couchsurfing.com/people/tomi-haltia,['35'],['95'],1.0,Finland,['2016'],['3'],['3'],985,Male
12,https://www.couchsurfing.com/people/damdimdamdoum,['29'],['95'],1.0,France,['2008'],['53'],['72'],3544,Male
13,https://www.couchsurfing.com/people/shiftdelete,['29'],['100'],1.0,listed,['2009'],['18'],['20'],2433,Male
14,https://www.couchsurfing.com/users/2003264823,['28'],['95'],1.0,USA,['2016'],['13'],['16'],590,Male
15,https://www.couchsurfing.com/people/oligood,['37'],['90'],1.0,France,['2005'],['187'],['374'],469,Male
16,https://www.couchsurfing.com/people/anniepogr,['20'],['95'],1.0,listed,['2014'],['38'],['52'],2766,Female
17,https://www.couchsurfing.com/people/maunolehto,['32'],['95'],1.0,listed,['2013'],['7'],['10'],2057,Male
18,https://www.couchsurfing.com/people/syedshahan,['26'],['95'],1.0,listed,['2014'],['11'],['13'],843,Male
19,https://www.couchsurfing.com/people/huishan-guo,['23'],['95'],1.0,China,['2015'],['12'],['19'],1529,Female
20,https://www.couchsurfing.com/people/markus.katiska,['35'],['85'],1.0,listed,['2012'],['8'],['8'],1446,Male
21,https://www.couchsurfing.com/people/victor-mukherjee,['30'],['100'],1.0,India,['2013'],['14'],['16'],1932,Male
22,https://www.couchsurfing.com/people/tatu-j,['37'],['100'],1.0,Finland,['2016'],['1'],['1'],903,Male
23,https://www.couchsurfing.com/people/abiolazizou,['23'],['100'],1.0,listed,['2013'],['2'],['3'],1092,Male
24,https://www.couchsurfing.com/people/ninnnu,['26'],['95'],1.0,Finland,['2010'],['12'],['23'],1466,Other
25,https://www.couchsurfing.com/people/peuno,['38'],['95'],1.0,Finland,['2012'],['7'],['14'],613,Male
26,https://www.couchsurfing.com/people/rishi-roy,['36'],['100'],1.0,listed,['2015'],['3'],['5'],774,Male
27,https://www.couchsurfing.com/people/rockaholiciam,['30'],['100'],1.0,Karachi,['2010'],['107'],['116'],3348,Male
28,https://www.couchsurfing.com/people/jalam,['36'],['95'],1.0,Finland,['2009'],['12'],['17'],1550,Male
29,https://www.couchsurfing.com/people/whitesnake,['46'],['95'],1.0,Turkey,['2008'],['2'],['2'],979,Male
30,https://www.couchsurfing.com/people/taneli_m,['31'],['100'],1.0,listed,['2011'],['6'],['7'],4701,Male
31,https://www.couchsurfing.com/people/romynet,['38'],['90'],1.0,France,['2009'],['35'],['41'],1226,Male
